,Date,Total Cases,Total Deaths
0,Feb 15,12,1
1,Feb 16,12,1
2,Feb 17,12,1
3,Feb 18,12,1
4,Feb 19,12,1
5,Feb 20,12,1
6,Feb 21,12,1
7,Feb 22,12,1
8,Feb 23,12,1
9,Feb 24,12,1
10,Feb 25,14,1
11,Feb 26,18,2
12,Feb 27,38,2
13,Feb 28,57,2
14,Feb 29,100,2
15,Mar 01,130,2
16,Mar 02,191,3
17,Mar 03,212,4
18,Mar 04,285,4
19,Mar 05,423,7
20,Mar 06,653,9
21,Mar 07,949,16
22,Mar 08,1209,19
23,Mar 09,1412,30
24,Mar 10,1784,33
25,Mar 11,2281,48
26,Mar 12,2876,61
27,Mar 13,3661,79
28,Mar 14,4499,91
29,Mar 15,5423,127
30,Mar 16,6633,148
31,Mar 17,7730,175
32,Mar 18,9134,264
33,Mar 19,10995,372
34,Mar 20,12612,450
35,Mar 21,14459,562
36,Mar 22,16018,674
37,Mar 23,19856,860
38,Mar 24,22304,1100
39,Mar 25,25233,1331
40,Mar 26,29155,1696
41,Mar 27,32964,1995
42,Mar 28,37575,2314
43,Mar 29,40174,2606
44,Mar 30,44550,3024
45,Mar 31,52128,3523
46,Apr 01,56989,4032
47,Apr 02,59105,4503
48,Apr 03,64338,5091
49,Apr 04,68605,5532
50,Apr 05,70478,5889
51,Apr 06,74390,6494
52,Apr 07,78167,7091
53,Apr 08,82048,7632
54,Apr 09,86334,8044
55,Apr 10,90676,8598
56,Apr 11,93790,8943
57,Apr 12,95403,9253
58,Apr 13,98076,9588
59,Apr 14,103573,10129
60,Apr 15,106206,10643
61,Apr 16,108847,11060
62,Apr 17,109252,11478
63,Apr 18,111821,11842
64,Apr 19,112606,12069
65,Apr 20,114657,12513
66,Apr 21,117324,12900
67,Apr 22,119151,13236
68,Apr 23,120804,13547
69,Apr 24,122577,13852
70,Apr 25,124114,14050
71,Apr 26,124575,14202
72,Apr 27,128339,14497
73,Apr 28,129859,14810
74,Apr 29,128442,15053
75,Apr 30,129581,15244
76,May 01,130185,15369
77,May 02,130979,15487
78,May 03,131287,15583
79,May 04,131863,15826
80,May 05,132967,16060
81,May 06,137150,16237
82,May 07,137779,16386
83,May 08,138421,16497
84,May 09,138854,16573
85,May 10,139063,16642
86,May 11,139519,16820
87,May 12,140227,17003
88,May 13,140734,17101
89,May 14,141356,17224
90,May 15,141919,17342
91,May 16,142291,17412
92,May 17,142411,17466
93,May 18,142903,17589
94,May 19,143427,17714
95,May 20,143845,17812
96,May 21,144163,17870
97,May 22,144556,17944
98,May 23,144806,17987
99,May 24,144921,18022
100,May 25,145279,18112
101,May 26,145555,18195
102,May 27,145746,18260
103,May 28,149071,18326
104,May 29,149668,18387
105,May 30,151496,18444
106,May 31,151753,18475
107,Jun 01,152091,18506
108,Jun 02,151325,18590
109,Jun 03,151677,18671
110,Jun 04,152444,18715
111,Jun 05,153055,18761
112,Jun 06,153634,18792
113,Jun 07,153977,18805
114,Jun 08,154188,18859
115,Jun 09,154591,18912
116,Jun 10,155136,18935
117,Jun 11,155561,18962
118,Jun 12,156287,18990
119,Jun 13,156813,19014
120,Jun 14,157220,19023
121,Jun 15,157372,19052
122,Jun 16,157716,19090
123,Jun 17,158174,19118
124,Jun 18,158641,19146
125,Jun 19,159452,19160
126,Jun 20,160093,19176
127,Jun 21,160377,19183
128,Jun 22,160750,19206
129,Jun 23,161267,19232
130,Jun 24,161348,19243
131,Jun 25,161348,19264
132,Jun 26,162936,19290
133,Jun 27,163458,19301
134,Jun 28,163980,19312
135,Jun 29,164260,19325
136,Jun 30,164801,19346
137,Jul 01,165719,19364
138,Jul 02,166378,19378
139,Jul 03,166960,19388
140,Jul 04,167520,19388
141,Jul 05,168159,19390
142,Jul 06,168335,19423
143,Jul 07,168810,19457
144,Jul 08,169473,19469
145,Jul 09,170094,19503
146,Jul 10,170752,19514
147,Jul 11,171421,19514
148,Jul 12,172089,19515
149,Jul 13,172377,19539
150,Jul 14,172888,19559
151,Jul 15,173304,19579
152,Jul 16,173838,19597
153,Jul 17,174674,19611
154,Jul 18,175539,19619
155,Jul 19,176404,19627
156,Jul 20,176754,19636
157,Jul 21,177338,19649
158,Jul 22,178336,19656
159,Jul 23,179398,19666
160,Jul 24,180528,19676
161,Jul 25,181547,19681
162,Jul 26,182565,19686
163,Jul 27,183079,19693
164,Jul 28,183804,19708
165,Jul 29,185196,19723
166,Jul 30,186573,19739
167,Jul 31,187919,19750
168,Aug 01,187919,19759
169,Aug 02,190739,19768
170,Aug 03,191295,19779
171,Aug 04,192334,19790
172,Aug 05,194029,19799
173,Aug 06,195633,19806
174,Aug 07,197921,19818
175,Aug 08,199956,19823
176,Aug 09,201990,19828
177,Aug 10,202775,19834
178,Aug 11,204172,19849
179,Aug 12,206696,19866
180,Aug 13,209365,19883
181,Aug 14,212211,19901
182,Aug 15,215521,19904
183,Aug 16,218536,19905
184,Aug 17,219029,19924
185,Aug 18,221267,19940
186,Aug 19,225043,19957
187,Aug 20,229814,19969
188,Aug 21,234400,19992
189,Aug 22,238002,20001
190,Aug 23,242899,20002
191,Aug 24,244854,20017
192,Aug 25,248158,20038
193,Aug 26,253587,20038
194,Aug 27,259698,20070
195,Aug 28,267077,20089
196,Aug 29,272530,20095
197,Aug 30,277943,20099
198,Aug 31,281025,20128
199,Sep 01,286007,20147
200,Sep 02,293024,20172
201,Sep 03,300181,20192
202,Sep 04,309156,20210
203,Sep 05,317706,20222
